sample_name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
25183,0.9324186991869918,0.06605691056910569,0.0010162601626016261,0.0,0.0005081300813008131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27522_1,0.3751872939766257,0.07641594246329038,0.008390770152831885,0.04315253221456398,0.00029967036260113877,0.0,0.0,0.0,0.0,0.0,0.0827090200779143,0.0,0.00029967036260113877,0.008091099790230746,0.28468684447108183,0.004495055439017081,0.0,0.03685945459994006,0.038058136050344624,0.0029967036260113876,0.00029967036260113877,0.0017980221756068325,0.00958945160323644,0.010188792328438718,0.0074917590650284685,0.008390770152831885,0.0005993407252022775,0.0,0.0,0.0
27522_2,0.00448681996634885,0.6191811553561414,0.00448681996634885,0.056646102075154234,0.0,0.0,0.0,0.0,0.0,0.0,0.003925967470555244,0.0,0.007291082445316881,0.00448681996634885,0.11890072910824454,0.0,0.0,0.06057206954570948,0.02411665731912507,0.0033651149747616375,0.0,0.0061693774537296695,0.04374649467190129,0.0061693774537296695,0.017386427369601793,0.015703869882220976,0.0033651149747616375,0.0,0.0,0.0
27522_3,0.004521167283189478,0.11960542540073983,0.002466091245376079,0.10110974106041924,0.0,0.0,0.0,0.0,0.0004110152075626798,0.0,0.055487053020961775,0.0,0.002466091245376079,0.0998766954377312,0.2219482120838471,0.0032881216605014385,0.0,0.05014385532264694,0.1730374023838882,0.02178380600082203,0.009042334566378957,0.002877106452938759,0.002877106452938759,0.062063296341964655,0.0032881216605014385,0.0632963419646527,0.0,0.0004110152075626798,0.0,0.0
27522_4,0.011785634867689571,0.11452079163887036,0.004002668445630421,0.09006004002668445,0.0,0.0,0.0,0.0,0.0,0.0,0.021125194574160552,0.0,0.0,0.10518123193239938,0.17100289081609962,0.00044474093840338,0.00044474093840338,0.08361129641983545,0.11363130976206359,0.022904158327774073,0.0,0.00822770736046253,0.00266844563042028,0.056037358238825885,0.01000667111407605,0.02156993551256393,0.00622637313764732,0.15654881031798978,0.0,0.0
27522_5,0.006903353057199211,0.05917159763313609,0.0039447731755424065,0.02564102564102564,0.0,0.0009861932938856016,0.0,0.0,0.0,0.0,0.009861932938856016,0.0,0.05719921104536489,0.0039447731755424065,0.028599605522682446,0.006903353057199211,0.22682445759368836,0.09763313609467456,0.014792899408284023,0.01282051282051282,0.027613412228796843,0.006903353057199211,0.0,0.01775147928994083,0.0039447731755424065,0.014792899408284023,0.0009861932938856016,0.3727810650887574,0.0,0.0
27522_6,0.022165927802406588,0.024699176694110196,0.013299556681443952,0.06966434452184928,0.0006333122229259025,0.0018999366687777073,0.0,0.0,0.005383153894870171,0.0006333122229259025,0.00253324889170361,0.0,0.026282457251424952,0.10069664344521849,0.17511082963901203,0.028499050031665613,0.016466117796073463,0.04401519949335022,0.1823939202026599,0.012349588347055098,0.037365421152628246,0.04148195060164661,0.0,0.006333122229259025,0.016149461684610514,0.02311589613679544,0.0037998733375554147,0.14502849905003168,0.0,0.0
37692_2,0.05197070108126962,0.007324729682595047,0.0010463899546564353,0.18346703871642833,0.0,0.0,0.0,0.0,0.0003487966515521451,0.0,0.023020579002441578,0.0,0.0,0.13742588071154516,0.11614928496686432,0.0,0.0,0.012905476107429368,0.266829438437391,0.016044645971398673,0.0006975933031042902,0.0020927799093128706,0.010115102895012208,0.10603418207185211,0.005231949773282177,0.0572026508545518,0.0017439832577607255,0.0003487966515521451,0.0,0.0
47491_1,0.20115356885364094,0.010814708002883922,0.007930785868781542,0.14131218457101657,0.0,0.0,0.0,0.0,0.0,0.0,0.03172314347512617,0.0,0.0,0.14419610670511895,0.032444124008651765,0.0,0.0,0.008651766402307137,0.2869502523431867,0.017303532804614274,0.0007209805335255948,0.004325883201153569,0.005767844268204758,0.08074981975486661,0.0,0.020187454938716654,0.005767844268204758,0.0,0.0,0.0
47491_2,0.17295873573309922,0.006145741878841089,0.0,0.12203687445127305,0.0,0.0,0.0,0.0,0.0,0.0,0.02633889376646181,0.0,0.0,0.0684811237928007,0.14749780509218613,0.0,0.0,0.013169446883230905,0.17822651448639157,0.001755926251097454,0.0,0.0026338893766461808,0.035996488147497806,0.13169446883230904,0.007901668129938543,0.07726075504828797,0.007901668129938543,0.0,0.0,0.0
56203_1,0.5079559363525091,0.04222766217870257,0.03549571603427173,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.0,0.028151774785801713,0.0,0.0,0.02937576499388005,0.02447980416156671,0.0,0.0,0.012239902080783354,0.13219094247246022,0.004283965728274173,0.0,0.0030599755201958386,0.0030599755201958386,0.056303549571603426,0.0030599755201958386,0.08873929008567931,0.006119951040391677,0.0,0.0,0.0
56203_2,0.012,0.011666666666666667,0.004333333333333333,0.21933333333333332,0.0,0.0,0.0,0.0,0.001,0.0,0.0006666666666666666,0.0,0.0,0.148,0.15566666666666668,0.0003333333333333333,0.0,0.01633333333333333,0.231,0.019,0.0006666666666666666,0.0,0.007666666666666666,0.13633333333333333,0.01633333333333333,0.017666666666666667,0.0006666666666666666,0.0013333333333333333,0.0,0.0
57075_3,0.052988775776559645,0.004698512137823023,0.004437483685721744,0.3098407726442182,0.0,0.0,0.0,0.0,0.0013051422605063951,0.0,0.14121639258679197,0.0,0.00026102845210127906,0.021404333072304882,0.10154006786739754,0.0,0.0,0.004959540589924301,0.02218741842860872,0.0010441138084051162,0.0,0.00809188201513965,0.012268337248760116,0.22605063951970764,0.00548159749412686,0.07308796658835813,0.008874967371443488,0.00026102845210127906,0.0,0.0
58408_1,0.018385650224215247,0.0017937219730941704,0.0,0.3977578475336323,0.0,0.0,0.0,0.0,0.0,0.0,0.08206278026905829,0.0,0.0,0.1,0.039461883408071746,0.0,0.0,0.003139013452914798,0.2273542600896861,0.03991031390134529,0.0008968609865470852,0.003587443946188341,0.003587443946188341,0.06278026905829596,0.0017937219730941704,0.017040358744394617,0.0004484304932735426,0.0,0.0,0.0
58408_2,0.03750721292556261,0.0031736872475476054,0.0,0.24264281592613965,0.0,0.0,0.0,0.0,0.0,0.0,0.09059434506635891,0.0,0.0005770340450086555,0.01788805539526832,0.33006347374495093,0.0005770340450086555,0.0,0.024235429890363532,0.03346797461050202,0.0037507212925562607,0.00028851702250432774,0.022215810732833238,0.0049047893825735715,0.060588574725908825,0.0031736872475476054,0.12406231967686093,0.00028851702250432774,0.0,0.0,0.0
59114_1,0.013049151805132666,0.006089604175728578,0.0008699434536755111,0.11961722488038277,0.0,0.0,0.0,0.0,0.0,0.0,0.16789908655937363,0.0,0.0,0.050456720313179645,0.16398434101783385,0.0,0.0,0.005219660722053067,0.27925184862983904,0.03697259678120922,0.0,0.004784688995215311,0.0034797738147020443,0.10743801652892562,0.019138755980861243,0.019573727707699,0.002174858634188778,0.0,0.0,0.0
