PC,variance_ratio,cumulative
1,0.049594385185721034,0.049594385185721034
2,0.04427913104393573,0.09387351622965676
3,0.028105021501690995,0.12197853773134776
4,0.017315567009652574,0.13929410474100035
5,0.01574228352900171,0.15503638827000205
6,0.013453762263659708,0.16849015053366176
7,0.008041461177429952,0.17653161171109172
8,0.0070745712847251705,0.18360618299581688
9,0.006368830109827962,0.18997501310564485
10,0.006080150417441405,0.19605516352308625
11,0.00519429268187596,0.2012494562049622
12,0.004899767996845829,0.20614922420180803
13,0.00443539265941514,0.21058461686122318
14,0.003961170150045753,0.21454578701126892
15,0.0036220342465878076,0.21816782125785672
16,0.00346171254819736,0.22162953380605407
17,0.0032716673007422608,0.22490120110679634
18,0.003187723190530545,0.22808892429732688
19,0.003006609857538666,0.23109553415486556
20,0.0029240253421687627,0.23401955949703432
21,0.002720727376231219,0.23674028687326554
22,0.0026097068728534126,0.23934999374611896
23,0.0024085971499885925,0.24175859089610754
24,0.0023818773420778328,0.2441404682381854
25,0.0023440954134869717,0.24648456365167237
26,0.0022983851182007656,0.24878294876987314
27,0.0021332333921987236,0.25091618216207184
28,0.002001270278593056,0.2529174524406649
29,0.0018875155394718118,0.2548049679801367
30,0.0017788392883462043,0.2565838072684829
31,0.0017093635875153029,0.2582931708559982
32,0.0016314212814911699,0.25992459213748936
33,0.0015947700321370488,0.2615193621696264
34,0.0015792054699984715,0.26309856763962486
35,0.0015410372524724402,0.2646396048920973
36,0.0015081234492554283,0.26614772834135275
37,0.0014742565279786673,0.2676219848693314
38,0.0014484492790546037,0.26907043414838605
39,0.0013990238073220756,0.27046945795570815
40,0.0013483847047027543,0.2718178426604109
41,0.0012977416867609283,0.27311558434717187
42,0.0012866001484747563,0.27440218449564663
43,0.0012425290617490855,0.2756447135573957
44,0.0012247994269064524,0.2768695129843022
45,0.001178969496267343,0.2780484824805695
46,0.0011521050162118442,0.27920058749678134
47,0.0011358084643304951,0.2803363959611118
48,0.0011161955560645743,0.2814525915171764
49,0.001097543810146177,0.28255013532732254
50,0.0010751777222306055,0.28362531304955313
