sample_name,sample_type,chemistry,cohort,n_cells_pre,n_outlier_counts,n_outlier_genes,n_outlier_top20,n_outlier_mt,n_outlier_min_genes,n_doublet,n_kept,n_removed,pct_removed,median_genes_post,median_counts_post,median_pct_mt_post
MMY47218,myeloma,10x 3' v3.2,WU2,3160,0,2,155,456,0,155,2582,578,18.29113924050633,1379.5,3985.0,5.8563814
MMY67868,myeloma,10x 3' v3.2,WU2,4185,0,0,1,324,0,207,3664,521,12.449223416965353,933.5,2405.5,5.2435293
MMY70893,myeloma,10x 3' v3.2,WU2,4729,0,0,30,366,0,338,4045,684,14.463945865933601,976.0,2485.0,5.4418607
MMY74196,myeloma,10x 3' v3.2,WU2,3637,0,4,206,173,0,234,3237,400,10.998075336816058,1058.0,3290.0,5.352798
MMY80649,myeloma,10x 3' v3.2,WU2,3753,0,1,78,151,0,189,3417,336,8.952837729816148,1195.0,2917.0,4.6080003
MMY83942,myeloma,10x 3' v3.2,WU2,6009,0,1,95,855,0,393,4775,1234,20.53586287235813,1646.0,5284.0,4.841069
MMY98423,myeloma,10x 3' v3.2,WU2,1378,0,0,1,183,0,52,1146,232,16.835994194484762,1194.0,3026.5,5.2065554
ND_083017,normal_bm,10x 3' v3.2,Donor,5072,0,1,45,0,0,399,4672,400,7.886435331230284,1066.5,3636.0,3.2991438
ND_090617,normal_bm,10x 3' v3.2,Donor,5532,0,1,28,0,0,424,5107,425,7.682574114244396,970.0,3229.0,4.4857144
ND_170531,normal_bm,10x 3' v3.2,Donor,2661,0,0,1,0,0,168,2493,168,6.313416009019166,961.0,2860.0,2.8755577
ND_170607,normal_bm,10x 3' v3.2,Donor,2767,0,2,16,0,0,151,2614,153,5.529454282616552,782.0,2380.0,3.3481512
